name,clust,clust_order,comp,comp_order,text
09000064841b93fc,1,16,1,16,"USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances would greatly increase the struggles many low-income people have paying for costs of both food and utilities, causing 19 percent of SNAP households to get lower SNAP monthly benefits. 

It would also have harmful impacts on low-income people's health and well-being, not to mention how it would negatively affect the economy.  And at a time when many of the elderly struggle with food insecurity,  the rule would disproportionately impact them, as well as people with disabilities.

Since big corporations get government aid, surely people who struggle with poverty deserve the same."
09000064840f9fd4,1,17,1,17,"Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
09000064841d17d2,1,18,1,18,"This proposed change would:

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being of adults and children as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities.


Personally, a close family member of mine who has struggled with receiving enough snap benefits on a regular basis would struggle unnecessarily with this proposed change. Perhaps a screening process as far as who receives SNAP such as an updated and realistic eligibility requirements would suffice. This close family member of mine has two severe injuries that prevent the ability to gain full time employment and life without or further reduced snap benefits will result in devastation to her and the community/population she represents. 

Please hear my voice, our voice and oppose this proposal. If we do not do anything, we will ALL experience the consequences of our actions. 


Sincerely, 

Kaylynne Gwinn"
090000648411cf5b,1,19,1,19,"These cuts would Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
0900006484050f8f,1,20,1,20,"I oppose this proposal.

It would:

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
090000648419a6f7,1,21,1,21,"This proposal would exacerbate the struggles many low-income people have paying for costs of both food and utilities.  

As 19 percent of SNAP households would get lower SNAP monthly benefits, the proposed change would have harmful impacts on health and well-being of vulnerable members of our national community, as well as on the economy.

It seems clear, as well, that the change would disproportionately impact elderly people and people with disabilities.

Please reject the change proposed by the current administration."
09000064841bb066,1,22,1,22,This proposed cut to the Snap program will hurt low income families. They will have to decide between food and heat for their families. It will also hurt the elderly and people with disabilities who are on a limited income. This is going to affect 19% of Snap households. It is unfair to the poor people
090000648402b70b,1,23,1,23,"Please do not adopt this harmful rule that would disproportionately affect the elderly and people with disabilities. We need to be doing more to support our most vulnerable residents, not less. When low income can't pay for food and utilities, our entire economy suffers -- not to mention that it is completely immoral.

Even as someone solidly in the middle class, I live on the very brink of losing the ability to pay for food if an unexpected medical emergency comes along or I lose my job. So many of us are in this situation. 

This rule that would cause 19 percent of SNAP households to get lower benefits is unacceptable. Please find another way to cut costs."
09000064840e928b,1,24,1,24,"As a registered nurse, I feel compelled to speak out against this proposed rule because so many of my patients struggling with health problems are elderly and disabled. This rule would disproportionately impact these individuals and reduce their SNAP benefits. Many of these individuals struggle to pay for both food and utilities. Utility expenses often increase for individuals that need to utilize adaptive equipment, c-pap machines, keep their homes warmer, etc. My understanding is that this rule would cause approximately 19 percent of SNAP households to get lower SNAP monthly benefits. I am concerned about how this will impact the health of low-income elderly individuals."
09000064841b2466,1,25,1,25,This proposed rulemaking would exacerbate the struggles many low income people have paying for costs of both utilities and food. It will have harmful impacts on health and well being as well as on the economy. It would cause 19 percent of SNAP households to get lower SNAP monthly benefits. We strongly oppose this proposed rulemaking.
090000648411cd6c,1,26,1,26,"The proposal would:

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  

Have harmful impacts on health and well-being as well as on the economy.

Cause 19 percent of SNAP households to get lower SNAP monthly benefits.

Disproportionately impact elderly people and people with disabilities."
090000648411df00,1,27,1,27,"USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances would: 
 
1). Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
2). Have harmful impacts on health and well-being as well as on the economy.
3). Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
4). Disproportionately impact elderly people and people with disabilities. 
 
This proposed rule must NOT become law! 
 
"
090000648411df8c,1,28,1,28,"the proposal would

    Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
    Have harmful impacts on health and well-being as well as on the economy.
    Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
    Disproportionately impact elderly people and people with disabilities.
"
090000648404160f,1,29,1,29,"Why are venerable disabled and elderly people targeted by this administration? Where is the money that he is taking from helpful programs going.
This proposal will
*Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
*Have harmful impacts on health and well-being as well as on the economy.
*Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
*Disproportionately impact elderly people and people with disabilities."
0900006484026e9e,1,30,1,30,"Changing this regulation would:
- Compound the struggles many low-income people have paying for costs of both food & utilities.
- Create harmful impacts on health & well-being as well as the economy.
- 19 % of SNAP households will get lower SNAP monthly benefits, straining their own household resources to adequately feed their families.
- Create disadvantages that will impact elderly people & people with disabilities.

Not everyone has access to food available or it costs too much because of administration policies (Tariffs/Taxes/Import duties/Greed).  These cuts will make it harder to feed & nourish families.

This regulation must be defeated."
09000064840291be,1,31,1,31,"This proposal would:

    Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  

    Have harmful impacts on health and well-being as well as on the economy.

    Cause 19 percent of SNAP households to get lower SNAP monthly benefits.

    Disproportionately impact elderly people and people with disabilities.
"
0900006484024837,1,32,1,32,"This proposal would

    Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
    Have harmful impacts on health and well-being as well as on the economy.
    Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
    Disproportionately impact elderly people and people with disabilities.
"
09000064841b4e28,1,33,1,33,"A cut to the SNAP programs would cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
09000064841d74ee,1,34,1,34,"Cutting Snap would Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
 Have harmful impacts on health and well-being as well as on the economy. 
 Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
 Disproportionately impact elderly people and people with disabilities.
It's hard enough to even get enough food with the benefits majority receive as is. Don't make the poor struggle, the elderly, the disabled go without, they already go without as is. We should be caring for these people and helping them. That's what makes us human beings."
09000064841ad247,1,35,1,35,"To the Trump Administration:

I am writing to show my protest against the USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowences.

 The passing of these cuts to this program would:
-Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
-Have harmful impacts on health and well-being as well as on the economy.
-Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
-Disproportionately impact elderly people and people with disabilities.
-It would also remove significant funds out of each state's food economy, specifically removing nearly $26 million per year in benefits from my home state of Vermont. This impacts both the grocery sector, as well as the farmers who grow and supply our community with local, whole foods and make their goods available to limited income Vermonters through farmers market and farmstand incentive programs.

-Livy Bulger
Hinesburg, VT"
090000648405650b,1,36,1,36,"I oppose these changed because this proposal would:

*Exacerbate the struggles many low-income people have paying for costs of both food and utilities. 

*Have harmful impacts on health and well-being as well as on the economy.

*Cause 19 percent of SNAP households to get lower SNAP monthly benefits.

*Disproportionately impact elderly people and people with disabilities.


"
090000648411d976,1,37,1,37,"If 19% of SNAP households will get lower SNAP monthly benefits, how will they get the nutrition they need?  Please do not change the rules, as the change will create suffering for the elderly and those w/ disabilities, along with the rest of those eligible to receive the benefits."
09000064841c3497,1,38,1,38,The USDA's proposed SNAP cuts will disproportionate affect the elderly and those with disabilities.  This unnecessary change will exacerbate the struggles many low-income people already have paying for costs of both food and utilities. It will have harmful impacts on health and well-being as well as on the economy and will cause 19 percent of SNAP households to get lower SNAP monthly benefits. I strongly oppose these proposed cuts and encourage you to find a better solution for your constituents.
09000064841dac51,1,39,1,39,"This proposal will
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities.

How on earth does this make sense? Now people will need to choose between heat and food?? Dear God, where is your humanity? DO NOT MAKE ANY CHANGES TO THIS PROGRAM."
09000064841bc122,1,40,1,40,"I am writing in regards to the proposed cuts to SNAP funding. This awful action would make life even worse for the many low income people and exacerbate their health problems and worsen their mental health. Low income people won't be able to pay the costs of both food and utilities. This will poorly impact their health and well-being which will cause increased ER visits and healthcare costs which will negatively impact our economy. This bill would cause 19 percent of SNAP households to get lower SNAP monthly benefits. This will Disproportionately impact elderly people and people with disabilities. This is an unfair and awful idea and I strongly oppose this proposed bill.
"
09000064841d9039,1,41,1,41,"As a public health nutrition professional I oppose this proposal. It would only make it more challenging for low-income families to make ends meet and to pay for food and utilities which are two critical determinants of general health and well being. There are so many children, older adults, and individuals with disabilities that depend on SNAP to be able to afford nutritious foods and pay their utilities which keep them safe and healthy. This proposal would cause 19% of these households to receive lower monthly benefits. Please do not move forward with this proposal."
09000064841be849,1,42,1,42,Please do not enact the USDA's proposed rule on SAP Standardization of State Heating and Cooling Standard Utility Allowances. The proposal would increase the struggles many low-income people have paying for the costs of both food and utilities. It would have harmful impacts on the economy. Decrease SNAP benefits to 19% of SNAP households. Disproportionately impact elderly people and people with disabilities.
090000648412ddf4,1,43,1,43,"This policy would exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities. 
This corrupt administration is disgraceful.  These hateful policies need to be stopped, you should all be ashamed by your greed and corruption."
09000064841c1a9b,1,44,1,44,"Many people who are in situations of poverty struggle to feed their family (despite how hard they and/or their partners work). It is plainly unfair to exasperate their problems by hitting them with less aid and more bills. This proposal is simply unfair and almost cruel, it could have such if the following effects:
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
09000064841bb955,1,45,1,45,"I am opposing these proposed cuts to SNAP because they will exacerbate the struggles low income people have with paying for food and utilities. The proposed cuts will disproportionally impact Vermonters on SNAP more than participants in other states, and disproportionately impact the elderly and people on disabilities. Under the proposed changes 19 percent of households would get lower SNAP monthly benefits. These proposed changes would have a dire negative impact on the wellbeing of our nations most vulnerable populations."
0900006484024eda,1,46,1,46,"USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances would:

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities.

We must help and support those who are struggling, not drive them to harm."
090000648411e13b,1,47,1,47,"Cutting SNAP would do the following, which is inhumane.
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
0900006484023f0d,1,48,1,48,"The proposal would make worse the struggles many low-income people have paying for costs of both food and utilities.  No one should have to chose. Also it would have result in 19 percent of SNAP households getting lower SNAP monthly benefits. Again, families will be forced to chose between shelter and food.

And this rule will impact elderly people and people with disabilities more than other groups. This is cruel. America is better than this."
090000648416fce6,1,49,1,49,"I am Kathryn Henderson from Somerville Massachusetts. I oppose the rule change on SNAP benefits because so many American families already struggle with food insecurity and make terrible decisions between utilities, healthcare and placing food on the table. 

I am concerned that an estimated 19 % of SNAP households would experience reduced benefits. Also, these rule changes seem to disproprtionately impact northern states. 

In a country as wealthy as ours, it is a disgrace that any American goes hungry. It is disgusting that so many have to rely on food pantries."
09000064841dc815,1,50,1,50,"I strongly oppose the USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances. These cuts would be devastating, particularly for those who are already the most vulnerable - the elderly and people with disabilities. These cuts would make the day to day living for low-income people so much more difficult as they balance affording food and utilities. They would cause 19% of households receiving SNAP benefits to receive lower monthly benefits, which would have negative impacts on families' health and well-being, in addition to the economy. Do not pass these cuts as they would cause far more harm than good."
09000064841b9503,1,51,1,51,"Please reconsider these changes to the rules that would intensify the struggles many low-income people have paying for costs of both food and utilities.  
The reduction of 19 percent of SNAP households to get lower SNAP monthly benefits will cause a burden to the already strapped private support required. The government is already falling short of helping its citizens"
09000064841b7d51,1,52,1,52,"In simple terms this proposal would force poor families, both young and old, would force American to go hungry. There will always be those who take advantage of any system but to punish the most vulnerable of our society is wrong on so many levels.
 This proposal would:
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
Have harmful impacts on health and well-being as well as on the economy. 
Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
Disproportionately impact elderly people and people with disabilities."
09000064841c174d,1,53,1,53,"I do not support the proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances. This proposal would make it much harder for low-income families to pay for both food and utilities, thus having a negative impact on their health and the overall economy. This proposed rule would lower the SNAP benefits for 19% of SNAP households, especially elderly people and those with disabilities. It is not good for the American people."
09000064840ed59b,1,54,1,54,"Tell the Trump Administration the proposal would 
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
Have harmful impacts on health and well-being as well as on the economy. 
Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
Disproportionately impact elderly people and people with disabilities. 
"
090000648402b27d,1,55,1,55,"This proposed rule would:
1)  Exacerbate the struggles many low-income people have paying for costs of both food and utilities.
2)  Have harmful impacts on health and well-being as well as on the economy.
3)  Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
4)  Disproportionately impact elderly people and people with disabilities.
Please do not enact this rule.
"
0900006484026ebb,1,56,1,56,"Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
090000648404dc4c,1,57,1,57,"This proposal would:
    Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
    Have harmful impacts on health and well-being as well as on the economy.
    Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
    Disproportionately impact elderly people and people with disabilities.

Please do NOT implement this proposal. Thank you.
"
09000064840a6ca0,1,58,1,58,"This proposal would:

Exacerbate the struggles many low-income people have paying for costs of food & utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
09000064841dab57,1,59,1,59,"To Whom it May Concern: 

I am writing to express my concerns with the SNAP Standardization of State Heating and Cooling Standard Utility Allowances. I am concerned about the harmful impacts on health and well-being that this rule would have on households that receive SNAP benefits. 

As a public health dietitian, I see the struggles that many families go through to put food on the table every day. We know that even with SNAP benefits, many families still struggle to feed their families.  This proposed rule would cause 19% of SNAP households to have a decrease in their monthly SNAP benefits.  This would result an even higher incidence of food insecurity - and disproportionately impact elderly people and people with disabilities.  Individuals who are food insecure are at a greater risk for negative health outcomes. 

Please consider the potential negative effects of this proposed rule on SNAP recipients.  

Thank you for your consideration. 

Raina Bunnag"
090000648414f0eb,1,60,1,60,"Re:  USDA's SNAP changes in allowances, the struggles many low-income people have paying for costs of both food and utilities would increase and have harmful impacts on health and well-being as well as on the economy.  The changes may
cause 19 percent of SNAP households to get lower SNAP monthly benefits and disproportionately impact elderly people and people with disabilities."
090000648402cd4e,1,61,1,61,"The proposed SNAP SUA rule will have very harmful impacts on human health and well-being as well as on the economy.

It will exacerbate the struggles many low-income people have paying for costs of both food and utilities.

It will cause 19 percent of SNAP households to get lower SNAP monthly benefits.

It will disproportionately impact elderly people and people with disabilities.

NO.

I strongly oppose this proposed rule change!"
0900006484026dc2,1,62,1,62,"I write to oppose the Trump administration's proposal to cut SNAP benefits. Your proposal would exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Your proposal would have harmful impacts on health and well-being as well as on the economy.
Your proposal would cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Your proposal would disproportionately impact elderly people and people with disabilities.
I oppose this new proposal."
090000648417d7ff,1,63,1,63,"I am in opposition to the proposed new rule on the utility allowances for SNAP.

It would exacerbate the struggles many low-income people have paying for costs of both food and utilities. Have harmful impacts on health and well-being as well as on the economy. And cause 19 percent of SNAP households to get lower SNAP monthly benefits.
How can we disproportionately impact elderly people and people with disabilities.

I urge you to not implement the proposed rule."
09000064840242fa,1,64,1,64,"Families in poverty are already struggling and making difficult decisions about what to pay for in their budgets without further impacting their food budgets. Hunger is the root cause of many medical ailments that plague those in poverty. Increasing hunger will have a corollary effect on an increase in medical episodes, which these same individuals cannot afford. It is alarming enough that 19% of SNAP households will see a decrease in their access to nutritious foods, it is disheartening to see how the elderly will be disproportionately impacted. How a society cares for its elders, says a lot about its overall health and wellness."
090000648408c28b,1,65,1,65,USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances would cause 19% of SNAP households to get lower SNAP monthly benefits. The proposal would exacerbate the struggles many low-income people have paying for costs of both food and utilities.  It also disproportionately impacts elderly people and people with disabilities.
090000648417c5c9,1,66,1,66,"I oppose this proposed rule. It would exacerbate the struggles many low-income people have paying for costs of both food and utilities and have harmful impacts on health and well-being as well as on the economy.
Furthermore, it would cause 19 percent of SNAP households to get lower SNAP monthly benefits and 
disproportionately impact elderly people and people with disabilities.
Don't be cruel. Reject this proposed rule. 
Thank you for your attention to my opinion.

Sincerely,

Karl Koessel"
09000064840e9f81,1,67,1,67,"The USDA""s new proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances is yet another attempt to further erode SNAP benefits that low-income communities desperately need. The proposed rule will result in SNAP cuts for 19% of SNAP receiving households.   This new rule will further exacerbate the struggles many low-income people have paying for costs of both food and utilities.  In addition, the proposed rule will have negative impacts on the health of well being of low-income Americans, particularly elderly people and individuals with disabilities. Furthermore, the rule will also hurt the economy.
"
09000064841816cb,1,68,1,68,"This proposal would increase the struggles that many low-income people have paying for costs of both food and utilities. Additionally these proposed changes would force many families to choose between medication and food. 

This proposal would cause 19 percent of SNAP households to get receive lower monthly benefits. These benefits allow families to survive. Without them the proposals would put unnecessary stress on family's lives. 

The elderly and those with disabilities would be impacted at a disproportionate manner."
09000064840e77d1,1,69,1,69,"STOP THIS TERRIBLE Trump Administration the proposal that would:

Exacerbate the struggles many low-income people have paying for costs of both food and utilities. 
 
Have harmful impacts on health and well-being as well as on the economy.

Cause 19 percent of SNAP households to get lower SNAP monthly benefits.

INCREASE SNAP BENEFITS AND ALL SOCIAL SAFETY NETS!
Disproportionately impact elderly people and people with disabilities."
09000064841569f5,1,70,1,70,"Michigan Community Action opposes the USDA's Proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances. The proposed new rule would exacerbate the struggles many low-income people have paying for costs of both food and utilities.   

The proposed rule would have harmful impacts on health and well-being as well as on the economy.  The initial impact would cause 19 percent of SNAP households to get lower SNAP monthly benefits. 

The proposed rule would disproportionately impact elderly people and people with disabilities."
090000648411e10c,1,71,1,71,"This proposal will:
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
Have harmful impacts on health and well-being as well as on the economy. 
Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
Disproportionately impact elderly people and people with disabilities.

Please stop punishing those of us that are not wealthy for not being wealthy."
09000064841bb70f,1,72,1,72,"This proposal would worsen the struggles of low income people.
It would also have a harmful on their heath and well being not to mention the economy as well! This would cause 19% of SNAP households to get lower monthly benefits and also have a negative impact on the elderly and disabled!!'"
090000648411d2da,1,73,1,73,"the proposal would

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
090000648411dac8,1,74,1,74,"The proposal would 
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
Have harmful impacts on health and well-being as well as on the economy. 
Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
Disproportionately impact elderly people and people with disabilities."
090000648404542e,1,75,1,75,"Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
09000064841ba09c,1,76,1,76,"Please reconsider these dangerous cuts to SNAP benefits.  I volunteer at my local community food pantry and I know how individuals and families struggle with hunger.
These cuts to SNAP will, exacerbate the struggles many low-income people have paying for costs of both food and utilities.  Have harmful impacts on health and well-being as well as on the economy, cause 19 percent of SNAP households to get lower SNAP monthly benefits, Disproportionately impact elderly people and people with disabilities."
0900006484023c10,1,77,1,77,"The proposed rule would:

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
090000648413ade0,1,78,1,78,"Please reject the proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances. The proposal would: 
- Exacerbate the struggles many low-income people have paying for costs of both food and utilities;  
- Have harmful impacts on health and well-being as well as on the economy;
- Cause 19 percent of SNAP households to get lower SNAP monthly benefits; and
- Disproportionately impact elderly people and people with disabilities.

Thank you for your consideration of this important matter. 
"
0900006484106000,1,79,1,79,"I urge you to NOT cut benefits to the SNAP program! Undermining this food security program will:
- Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
- Have harmful impacts on health and well-being as well as on the economy. 
-  Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
- Disproportionately impact elderly people and people with disabilities. 
We cannot keep cutting safety net programs and expect to have a strong, fruitful nation. 
"
0900006484111b18,1,80,1,80,"Your bill regarding SNAP would:
Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
0900006484157767,1,81,1,81,"This proposal would have devastating effects on all Americans. 
Your proposed rule on SNAP standards would exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Also, it would have harmful impacts on health and well-being as well as on the economy.
And cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities.

WHY would you want the nations' people to starve??Really, why?  Have you or any family member ever experienced hunger?  I have, and I would not wish that experience to anyone-ANYONE!"
09000064841cfe4d,1,82,1,82,"Please do not cut SNAP funding. It will really have an adverse impact on so many families, children and elderly across the country.  It's entirely inhumane, especially during the holidays, and you pledged to help working class.  This move will: 

    Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
    Have harmful impacts on health and well-being as well as on the economy.
    Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
    Disproportionately impact elderly people and people with disabilities.
"
090000648411db91,1,83,1,83,"This is a proposal that would:
Worsen the struggles of low-income people paying for both food and utilities.   
Harm health and well-being as well as on the economy. 
Cause 19% of SNAP households to get lower monthly benefits. 
Disproportionately impact elderly people and people with disabilities."
